15;24;21;14;8;21;8;51;44;24;18;68;70;48;7;12;6;23;46;21
75;55;47;32;38;78;73;84;98;84;47;61;50;7;47;36;29;32;50;80
59;81;33;26;60;5;63;42;55;93;43;16;45;97;-1;25;61;97;79;41
85;52;22;83;-1;26;8;-1;-1;-1;97;21;33;81;-1;13;70;92;77;82
12;32;85;6;-1;58;65;90;51;-1;2;10;83;76;-1;91;52;47;94;22
90;4;17;95;-1;73;62;97;33;-1;90;59;47;35;-1;92;29;25;31;53
53;71;43;84;-1;50;91;35;12;-1;31;-1;-1;-1;-1;75;9;62;89;2
34;7;-1;-1;-1;15;32;65;21;-1;79;18;55;99;1;11;87;70;79;48
45;20;6;92;15;88;50;17;21;6;46;98;75;32;80;52;-1;-1;-1;18
68;6;14;20;60;60;3;70;5;99;73;57;3;10;80;28;49;65;-1;94
8;3;77;30;31;22;27;53;63;90;71;64;91;-1;5;29;92;87;-1;12
70;39;82;61;53;-1;-1;-1;13;36;70;15;36;-1;92;53;7;14;-1;13
96;49;77;18;65;91;16;-1;90;78;20;75;14;-1;29;49;64;71;-1;77
73;6;78;72;13;31;4;-1;29;43;47;47;80;-1;27;46;28;97;-1;42
21;8;87;25;38;74;39;-1;17;11;7;18;92;-1;38;24;98;52;47;25
12;45;58;87;54;74;77;-1;54;93;9;55;39;-1;66;39;98;33;50;23
51;13;94;31;23;5;24;14;74;90;-1;-1;-1;-1;30;99;9;93;62;65
76;15;99;65;67;60;92;15;94;16;56;69;98;82;72;39;68;18;53;76
87;48;90;56;40;91;61;11;2;86;24;77;17;89;68;34;11;83;88;4
43;88;29;41;6;39;91;47;38;23;44;19;74;33;31;18;26;48;97;53
